Task, Description, hrs, Owner
1, Have the server keep track of turn number, 4, Delun
2, Have the server keep track of player roles, 2, Delun
3, Have the server keep track of ship locations and paths, 3, Pano
4, Have the server keep track of asteroids and mine locations on map, 3, Pano
