Task, Description, hrs, Owner
1, Implement protocol for player exiting from the game, 3, Utkarsh
2, Implement a lobby system for players to gather while awaiting a new game, 6, Delun
3, Implement an option for a player to start a game that allows other to join, 5, Pano
